Country,year,value
Angola,1820,48.93343
Argentina,1820,47.10099
Austria,1820,53.35227
Belgium,1820,62.43673
Benin,1820,47.95059
Brazil,1820,47.10099
Cameroon,1820,56.15046
Canada,1820,45.13605
Chile,1820,47.10099
China,1820,44.8543
Congo,1820,51.06881
Denmark,1820,54.14205
Egypt,1820,57.71468
France,1820,59
Ghana,1820,58.44026
Hungary,1820,47.41291
India,1820,32.8
Indonesia,1820,51.69444
Ireland,1820,44.58137
Italy,1820,53.86328
Japan,1820,53.15753
Mexico,1820,40.11364
Netherlands,1820,56.33
Nigeria,1820,54.85265
Norway,1820,43.73409
Peru,1820,57.39507
Poland,1820,34.51052
Portugal,1820,55.06711
Senegal,1820,45.90492
Spain,1820,38.04
Sweden,1820,55.44166
Switzerland,1820,41.73431
Thailand,1820,47.42689
Turkey,1820,57.71468
Ukraine,1820,45.56807
United Kingdom,1820,59.27
United States,1820,57.00726
Argentina,1850,33.68675
Armenia,1850,29.12185
Australia,1850,41.30739
Austria,1850,36.06522
Bangladesh,1850,41.82703
Belgium,1850,52.76835
Brazil,1850,36.88876
Bulgaria,1850,39.5
Canada,1850,26.73701
Chad,1850,50.61458
Chile,1850,63.61
China,1850,32.79879
Denmark,1850,51.47933
Egypt,1850,63.09967
France,1850,54.3298
Ghana,1850,42.92655
Hungary,1850,33.10527
India,1850,38.72911
Indonesia,1850,41.9696
Ireland,1850,29.63404
Italy,1850,50.53597
Japan,1850,45.76564
Malaysia,1850,25.26073
Mexico,1850,31.6158
Myanmar,1850,30.4921
Netherlands,1850,48.49462
Norway,1850,39.48906
Pakistan,1850,28.68893
Papua New Guinea,1850,25.7537
Peru,1850,45.09157
Philippines,1850,32.54966
Poland,1850,36.1977
Portugal,1850,33.4622
Slovenia,1850,27.71461
Spain,1850,31.60821
Sweden,1850,46.11219
Switzerland,1850,49.54624
Thailand,1850,42
Turkey,1850,37.42893
Ukraine,1850,30.2709
United Kingdom,1850,43.49139
United States,1850,43.79735
Afghanistan,1870,49.58121
Albania,1870,41.2354
Argentina,1870,52.2
Armenia,1870,59.54074
Australia,1870,47.54506
Azerbaijan,1870,73.7
Bangladesh,1870,50.1948
Belgium,1870,52.80577
Brazil,1870,39.2
Bulgaria,1870,47.82681
Canada,1870,43.79224
Chad,1870,48.14933
Chile,1870,59.4
China,1870,40.88247
Colombia,1870,58.94312
Denmark,1870,48.8166
Egypt,1870,44.76133
Finland,1870,50.58427
France,1870,58
Ghana,1870,56.06445
Greece,1870,49.93078
Hungary,1870,45.10877
India,1870,39.84651
Indonesia,1870,39
Iran,1870,49.36192
Iraq,1870,50.54431
Ireland,1870,38.539
Italy,1870,51.08167
Japan,1870,45.96279
Kenya,1870,46.31273
Kyrgyzstan,1870,45.95004
Latvia,1870,48.87745
Malawi,1870,45.71369
Malaysia,1870,40.92689
Mexico,1870,51.09479
Morocco,1870,48.64491
Mozambique,1870,52.60693
Myanmar,1870,46.06711
Netherlands,1870,56.5
Norway,1870,47.6508
Pakistan,1870,46.61834
Papua New Guinea,1870,45.24363
Peru,1870,53.40365
Philippines,1870,52.65354
Poland,1870,38.23717
Portugal,1870,51.58976
Rwanda,1870,59.01018
Slovenia,1870,43.38078
Spain,1870,33.5963
Sweden,1870,51.92186
Switzerland,1870,50.72957
Syria,1870,59.33985
Tajikistan,1870,47.36548
Thailand,1870,36.45182
Turkey,1870,55.94901
United Kingdom,1870,48.97
United States,1870,51.34074
Uruguay,1870,48.1
Afghanistan,1890,36.52764
Albania,1890,28.36242
Angola,1890,28.97607
Argentina,1890,44.59684
Armenia,1890,32.75693
Australia,1890,39.35404
Bangladesh,1890,39.38298
Belgium,1890,49
Brazil,1890,35.58564
Bulgaria,1890,34.77324
Cameroon,1890,33.04797
Canada,1890,41.22997
Chile,1890,55.13148
China,1890,30.56169
Colombia,1890,42.43406
Denmark,1890,39.859
Egypt,1890,33.1912
Estonia,1890,32.2501
Finland,1890,35.86799
France,1890,48
Georgia,1890,29.74723
Ghana,1890,38.1145
Greece,1890,33.72567
Guatemala,1890,35.30002
Guinea,1890,32.73783
Guyana,1890,38.23119
India,1890,32.0104
Indonesia,1890,39
Iran,1890,38.42387
Iraq,1890,37.66752
Ireland,1890,33.03146
Italy,1890,45.9799
Jamaica,1890,39.10361
Japan,1890,47.35887
Kazakhstan,1890,43.31751
Kenya,1890,33.25916
Kyrgyzstan,1890,37.68756
Latvia,1890,35.4506
Lebanon,1890,37.26574
Mexico,1890,43.82773
Morocco,1890,35.59134
Mozambique,1890,39.55336
Myanmar,1890,32.98838
Netherlands,1890,42.26006
Nigeria,1890,36.97673
Norway,1890,36.78619
Pakistan,1890,35.93506
Papua New Guinea,1890,36.01381
Peru,1890,41.67236
Philippines,1890,37.7503
Poland,1890,29.95764
Portugal,1890,39.40931
South Africa,1890,35.87093
Spain,1890,31.41189
Sweden,1890,59.49035
Switzerland,1890,34.8294
Syria,1890,33.20357
Tajikistan,1890,38.89941
Tanzania,1890,37.58679
Thailand,1890,34.22712
Turkmenistan,1890,29.14094
Ukraine,1890,39.07614
United Kingdom,1890,37.36684
United States,1890,45.52317
Uzbekistan,1890,35.96276
Zimbabwe,1890,34.6092
Afghanistan,1910,42.47902
Albania,1910,27.70537
Algeria,1910,36.46704
Angola,1910,40.8695
Argentina,1910,50.62016
Armenia,1910,36.84933
Australia,1910,40.72747
Belgium,1910,50.16337
Benin,1910,41.36697
Botswana,1910,35.60809
Brazil,1910,38.1601
Burkina Faso,1910,37.4998
Burundi,1910,43.69366
Cameroon,1910,42.42954
Canada,1910,40.66906
Chile,1910,55.23213
China,1910,38.8579
Colombia,1910,52.94209
Congo,1910,39.50844
Denmark,1910,41.10374
Egypt,1910,41.69664
Estonia,1910,36.92264
Finland,1910,38.40455
France,1910,54.79129
Gabon,1910,45.85316
Georgia,1910,36.44677
Ghana,1910,40.3724
Guatemala,1910,38.34544
Guinea,1910,41.30381
Guinea-Bissau,1910,49.84899
Guyana,1910,42.43048
India,1910,31.0778
Indonesia,1910,42.2
Iran,1910,37.47361
Iraq,1910,44.10898
Ireland,1910,37.23075
Italy,1910,49.18693
Jamaica,1910,38.41033
Japan,1910,52.30033
Kazakhstan,1910,32.91505
Kenya,1910,48.93635
Kyrgyzstan,1910,42.35077
Latvia,1910,40.15817
Lebanon,1910,43.46703
Macedonia,1910,37.6113
Madagascar,1910,41.00953
Malawi,1910,37.36811
Mexico,1910,51.40618
Netherlands,1910,47.14907
New Zealand,1910,38.15323
Niger,1910,43.34556
Norway,1910,40.23464
Pakistan,1910,47.17262
Peru,1910,39.20093
Philippines,1910,39.96185
Poland,1910,28.01872
Portugal,1910,45.98328
Rwanda,1910,38.03614
Senegal,1910,41.30381
Slovakia,1910,43.24409
Slovenia,1910,38.47102
South Africa,1910,44.55119
Spain,1910,35.07605
Sweden,1910,56.99142
Switzerland,1910,37.51034
Syria,1910,46.26809
Tajikistan,1910,44.15527
Tanzania,1910,38.46255
Thailand,1910,42
Togo,1910,42.12181
Turkmenistan,1910,39.62817
Uganda,1910,41.04714
Ukraine,1910,43.4
United Kingdom,1910,41.86165
United States,1910,51.09048
Uzbekistan,1910,40.10425
Vietnam,1910,40.40764
Zimbabwe,1910,38.80848
Algeria,1929,40.31699
Angola,1929,53.06181
Argentina,1929,45.4
Australia,1929,36.27016
Belgium,1929,52.12138
Benin,1929,45.74295
Bolivia,1929,36.91031
Botswana,1929,39.98406
Brazil,1929,59.7
Burkina Faso,1929,41.87578
Burundi,1929,48.06963
Cameroon,1929,44.3476
Canada,1929,41.94884
Chad,1929,44.02266
Chile,1929,64.1
China,1929,44.00738
Colombia,1929,54.07054
Congo,1929,39.40231
Croatia,1929,47.77561
Denmark,1929,43.28838
Egypt,1929,45.98825
Estonia,1929,41.29862
Finland,1929,44.4567
France,1929,61.68414
Gabon,1929,50.22913
Ghana,1929,44.06534
Greece,1929,42.17323
Guatemala,1929,42.72142
Guinea,1929,45.67979
Guinea-Bissau,1929,54.22497
Hungary,1929,30
India,1929,31.32436
Indonesia,1929,50
Iran,1929,41.84959
Ireland,1929,41.60673
Israel,1929,44.86531
Italy,1929,51.33563
Jamaica,1929,42.50411
Japan,1929,51.79653
Kazakhstan,1929,32.05853
Kenya,1929,55.12435
Kyrgyzstan,1929,41.3322
Macedonia,1929,43.3531
Madagascar,1929,45.38551
Malawi,1929,41.74409
Mali,1929,47.15742
Mexico,1929,54.95322
Mozambique,1929,44.71842
Nepal,1929,40.99217
Netherlands,1929,41.65977
New Zealand,1929,39.87064
Niger,1929,47.72154
Norway,1929,45.85361
Pakistan,1929,42.05523
Papua New Guinea,1929,47.25259
Peru,1929,53.02706
Philippines,1929,44.02496
Poland,1929,26.29
Portugal,1929,50.35926
Rwanda,1929,47.86861
Senegal,1929,42.85699
Slovakia,1929,47.62007
Slovenia,1929,42.847
South Africa,1929,59.27743
South Korea,1929,32.12819
Spain,1929,36.12463
Sweden,1929,50.67288
Switzerland,1929,39.23269
Tajikistan,1929,48.53125
Tanzania,1929,42.83853
Thailand,1929,47.12325
Togo,1929,44.37405
Turkey,1929,53.57338
Turkmenistan,1929,44.00415
Uganda,1929,45.42312
United Kingdom,1929,42.51282
United States,1929,54.27411
Uruguay,1929,56.2
Uzbekistan,1929,44.48023
Vietnam,1929,44.78362
Angola,1950,48.48807
Argentina,1950,41.2
Australia,1950,37.93349
Austria,1950,37.70676
Bangladesh,1950,41.35698
Barbados,1950,48.27313
Belgium,1950,37.68051
Benin,1950,40.42056
Bolivia,1950,33.82697
Brazil,1950,49.33771
Burkina Faso,1950,42.89357
Cameroon,1950,39.44976
Canada,1950,36.27374
Central African Republic,1950,45.24579
Chad,1950,40.15956
Chile,1950,35.79118
China,1950,32.24
Colombia,1950,46.13254
Comoros,1950,36.30614
Congo,1950,37.47378
Cote d'Ivoire,1950,38.09856
Croatia,1950,36.36227
Cuba,1950,36.45422
Denmark,1950,35.6851
Dominican Republic,1950,40.095
Egypt,1950,38.81282
Estonia,1950,34.6244
Finland,1950,34.67123
France,1950,57.90601
Gabon,1950,41.36724
Ghana,1950,41.07079
Greece,1950,34.09489
Guatemala,1950,42.40743
Guinea,1950,41.48495
Guinea-Bissau,1950,37.71011
Haiti,1950,41.54251
India,1950,35.24668
Indonesia,1950,54
Iran,1950,46.50178
Ireland,1950,42.80956
Italy,1950,42.89046
Japan,1950,35.8995
Kazakhstan,1950,44.7
Kenya,1950,55.80448
Kyrgyzstan,1950,37.57013
Madagascar,1950,37.5571
Malawi,1950,37.71381
Mali,1950,41.88909
Mexico,1950,52.21711
Morocco,1950,38.62054
Mozambique,1950,41.54559
Myanmar,1950,33.64804
Netherlands,1950,35.90169
New Zealand,1950,34.44712
Nicaragua,1950,41.31926
Niger,1950,37.42045
Norway,1950,35.61075
Pakistan,1950,37.17733
Papua New Guinea,1950,47
Peru,1950,47.06943
Philippines,1950,49.21
Poland,1950,23.35481
Portugal,1950,39.18056
Rwanda,1950,44.14802
Senegal,1950,38.26324
Slovakia,1950,36.61975
Slovenia,1950,34.27571
South Africa,1950,52.25651
South Korea,1950,30.31483
Spain,1950,35.32194
Sri Lanka,1950,47.95246
Sweden,1950,40.47617
Switzerland,1950,40.63216
Tanzania,1950,41.18169
Thailand,1950,38.72711
Turkey,1950,48.81083
Uganda,1950,43.41246
United Kingdom,1950,30.49788
United States,1950,39.42499
Uzbekistan,1950,44.9
Zambia,1950,39.92634
Zimbabwe,1950,40.33257
Argentina,1960,42
Australia,1960,35.01661
Austria,1960,47.65733
Bangladesh,1960,37.13574
Belgium,1960,47.11015
Benin,1960,42.1
Bolivia,1960,46.95317
Brazil,1960,55.43252
Bulgaria,1960,22.71622
Burkina Faso,1960,47.93856
Cameroon,1960,49.77486
Canada,1960,34.57147
Central African Republic,1960,52.15301
Chad,1960,34.51331
Chile,1960,70.80186
China,1960,30.5
Colombia,1960,64.52618
Comoros,1960,48.67912
Costa Rica,1960,49.99314
Cote d'Ivoire,1960,45.03416
Czech Republic,1960,26.38343
Denmark,1960,33.28397
Egypt,1960,42.9
Estonia,1960,44.57496
Finland,1960,47.35047
France,1960,52.01328
Gabon,1960,66.83635
Ghana,1960,49.57834
Greece,1960,46.85989
Guatemala,1960,54.21573
Guinea,1960,51.19101
Guyana,1960,41.78057
Haiti,1960,51.23475
Hungary,1960,28.29417
India,1960,37.26116
Indonesia,1960,39.98155
Iran,1960,56.45234
Iraq,1960,64.51022
Ireland,1960,52.76013
Italy,1960,44.35305
Jamaica,1960,41.45165
Japan,1960,38.14407
Kazakhstan,1960,46.2
Kenya,1960,68
Kyrgyzstan,1960,46.82756
Lebanon,1960,56.28291
Madagascar,1960,48.68118
Malawi,1960,49.13302
Mali,1960,52.98311
Mexico,1960,52.58173
Morocco,1960,48.74633
Mozambique,1960,51.99216
Myanmar,1960,37.976
Netherlands,1960,44.88617
New Zealand,1960,30.59406
Nicaragua,1960,49.44128
Niger,1960,49.37413
Nigeria,1960,51
Norway,1960,35.16342
Pakistan,1960,38.65
Peru,1960,63.95442
Philippines,1960,51.44608
Poland,1960,26
Portugal,1960,49.13113
Rwanda,1960,52.36331
Senegal,1960,58.98908
Slovakia,1960,32.41534
South Africa,1960,68.84947
South Korea,1960,31.68173
Spain,1960,27.77321
Sri Lanka,1960,47.32009
Suriname,1960,32.15931
Sweden,1960,40.06197
Switzerland,1960,39.61424
Tanzania,1960,54.32951
Thailand,1960,42.96234
Trinidad and Tobago,1960,44.86518
Turkey,1960,55.16108
Uganda,1960,51.11784
United Kingdom,1960,28.50191
United States,1960,38.02372
Uzbekistan,1960,47.3
Venezuela,1960,43.30489
Zambia,1960,49.7786
Zimbabwe,1960,50.11926
Argentina,1970,35.3
Australia,1970,31.81844
Austria,1970,47.48093
Bahamas,1970,46.77354
Bangladesh,1970,29
Belgium,1970,37.68051
Benin,1970,49.46017
Bolivia,1970,54.86515
Brazil,1970,57.84335
Bulgaria,1970,21.35253
Burkina Faso,1970,47.56828
Cameroon,1970,50.5085
Canada,1970,33.78042
Central African Republic,1970,56.02855
Chad,1970,50.29534
Chile,1970,47.44266
China,1970,27.9
Colombia,1970,51.93792
Comoros,1970,50.29364
Costa Rica,1970,44.68832
Cote d'Ivoire,1970,49.02397
Denmark,1970,29.27774
Dominican Republic,1970,45
Ecuador,1970,38
Egypt,1970,43.37
Estonia,1970,46.0182
Fiji,1970,47.57713
France,1970,44.65829
Gabon,1970,64.53
Ghana,1970,50.89896
Greece,1970,41.76017
Guatemala,1970,53.77678
Guinea,1970,49.7224
Haiti,1970,51.20369
Honduras,1970,61.88
Hungary,1970,27.04313
India,1970,39.82518
Indonesia,1970,44
Iran,1970,45.5
Ireland,1970,38.4657
Italy,1970,39.04081
Jamaica,1970,33.02914
Japan,1970,34.87896
Kazakhstan,1970,48.2
Kenya,1970,50.46646
Kyrgyzstan,1970,46.9577
Madagascar,1970,47.95006
Malawi,1970,49.44535
Malaysia,1970,51.42919
Mali,1970,49.08183
Mexico,1970,56.0522
Morocco,1970,47.98405
Mozambique,1970,49.76012
Myanmar,1970,44.27483
Nepal,1970,51.09327
Netherlands,1970,35.90169
New Zealand,1970,30.0465
Nicaragua,1970,50.23742
Niger,1970,48.00656
Nigeria,1970,38.33155
Norway,1970,32.79832
Pakistan,1970,32.99
Panama,1970,58.92147
Peru,1970,55
Philippines,1970,49.65903
Poland,1970,29.0755
Portugal,1970,40.99584
Rwanda,1970,51.97689
Senegal,1970,46.77701
Sierra Leone,1970,60.08848
Singapore,1970,41
Slovenia,1970,43.54877
South Africa,1970,70.0992
South Korea,1970,33.98494
Spain,1970,34.57364
Sri Lanka,1970,37.5108
Sweden,1970,36.95704
Switzerland,1970,41.13355
Tanzania,1970,33.66451
Thailand,1970,44.41134
Trinidad and Tobago,1970,51.63869
Tunisia,1970,59.21262
Turkey,1970,51.67866
Uganda,1970,50.7169
United Kingdom,1970,28.9
United States,1970,36.06461
Uruguay,1970,36.2
Uzbekistan,1970,43.3
Venezuela,1970,47.21964
Zambia,1970,49.91151
Zimbabwe,1970,50.68494
Argentina,1980,41.6
Australia,1980,39.33642
Bahamas,1980,42.14369
Bangladesh,1980,38.18497
Barbados,1980,48.14856
Belgium,1980,31.2765
Benin,1980,50.40178
Bolivia,1980,43.13236
Brazil,1980,57.15025
Bulgaria,1980,23.33442
Burkina Faso,1980,47.82038
Cameroon,1980,38.36068
Canada,1980,33.51524
Chad,1980,52.65893
Chile,1980,54.71
China,1980,29.51371
Colombia,1980,54.52413
Costa Rica,1980,45
Denmark,1980,41.272
Dominican Republic,1980,43.29
Egypt,1980,49.85116
El Salvador,1980,48.4
Fiji,1980,42.5
Finland,1980,35.75205
France,1980,34.50284
Gabon,1980,59.12077
Ghana,1980,49.83647
Greece,1980,36.06993
Guatemala,1980,48.39964
Haiti,1980,48.59277
Hungary,1980,25.55691
India,1980,31.24316
Indonesia,1980,40
Iran,1980,39.49837
Ireland,1980,42.76987
Italy,1980,39.04081
Jamaica,1980,33.09146
Japan,1980,37.23724
Jordan,1980,36.89252
Kenya,1980,57.3
Luxembourg,1980,30.7028
Malawi,1980,51.49512
Malaysia,1980,51.06573
Mali,1980,48.37245
Mexico,1980,51.22181
Morocco,1980,39.67292
Netherlands,1980,29.8
New Zealand,1980,34.78182
Nicaragua,1980,48.78125
Nigeria,1980,35.182
Norway,1980,29.85474
Pakistan,1980,35.666
Panama,1980,47.46343
Peru,1980,52.39062
Philippines,1980,45.18
Poland,1980,30.0677
Portugal,1980,38.14569
Rwanda,1980,40.20898
Seychelles,1980,46
Singapore,1980,40.11609
South Africa,1980,67.07624
South Korea,1980,39.8523
Spain,1980,40.81036
Sri Lanka,1980,43.55929
Sweden,1980,29.02869
Switzerland,1980,37.4133
Tanzania,1980,35.06025
Thailand,1980,46.04552
Trinidad and Tobago,1980,41.49157
Tunisia,1980,37.1675
Turkey,1980,50.23
Uganda,1980,51.74838
Ukraine,1980,34.42994
United Kingdom,1980,33.99885
United States,1980,36.81429
Venezuela,1980,37.67893
Zambia,1980,51.24839
Algeria,1990,41.28925
Argentina,1990,43.12
Armenia,1990,38.44871
Australia,1990,41.57151
Austria,1990,31.45453
Azerbaijan,1990,34.5
Bahamas,1990,44.50246
Bangladesh,1990,39.86102
Belarus,1990,23.3
Belgium,1990,26.74247
Bolivia,1990,42.84193
Botswana,1990,41.14368
Brazil,1990,58.6
Bulgaria,1990,23.85179
Burundi,1990,41.15252
Canada,1990,31.88074
Central African Republic,1990,47.91552
Chile,1990,54.7
China,1990,33.8562
Colombia,1990,49.75765
Costa Rica,1990,46.14928
Cote d'Ivoire,1990,41.00187
Czech Republic,1990,25.12914
Denmark,1990,31.98086
Dominican Republic,1990,51
Ecuador,1990,50
Egypt,1990,54.34827
El Salvador,1990,53
Estonia,1990,21
Finland,1990,29.4738
France,1990,37.39527
Georgia,1990,29.1
Ghana,1990,41.2805
Greece,1990,34.44603
Guatemala,1990,59.56279
Guinea,1990,44.59752
Guinea-Bissau,1990,46.99166
Haiti,1990,46.68428
Honduras,1990,54
Hungary,1990,26.9
India,1990,40.00075
Indonesia,1990,39
Ireland,1990,39.31427
Italy,1990,32.73008
Jamaica,1990,42.75909
Japan,1990,35.9
Jordan,1990,40.65038
Kazakhstan,1990,29.7
Kenya,1990,48.71024
Kyrgyzstan,1990,30.8
Laos,1990,40.15675
Latvia,1990,24
Lesotho,1990,58.28613
Lithuania,1990,24.8
Luxembourg,1990,39.51144
Malaysia,1990,48.52313
Mauritania,1990,41.7183
Mauritius,1990,41.75143
Mexico,1990,48.44877
Moldova,1990,26.7
Morocco,1990,42.51272
Netherlands,1990,32.2
New Zealand,1990,40.10687
Niger,1990,41.94724
Nigeria,1990,44.1133
Norway,1990,31.64663
Pakistan,1990,40.35529
Panama,1990,56.25
Peru,1990,46.43
Philippines,1990,48.48896
Poland,1990,31
Portugal,1990,38.08859
Romania,1990,27.56092
Senegal,1990,46.43752
Sierra Leone,1990,45.74993
Singapore,1990,39
Slovakia,1990,21.6
Slovenia,1990,27.4988
South Africa,1990,63
South Korea,1990,34.51399
Spain,1990,33.99665
Sri Lanka,1990,40.10598
Sweden,1990,30.66191
Switzerland,1990,38.7415
Tajikistan,1990,33.4
Tanzania,1990,47.87131
Thailand,1990,50.18964
The Gambia,1990,45.56276
Tunisia,1990,42.34489
Turkey,1990,44.19597
Turkmenistan,1990,30.8
Uganda,1990,40.61367
Ukraine,1990,24.53423
United Kingdom,1990,38.62479
United States,1990,39.71988
Uzbekistan,1990,31.5
Venezuela,1990,44.4
Vietnam,1990,41.89698
Zambia,1990,43.73939
Zimbabwe,1990,46.17343
Albania,2000,28.64454
Argentina,2000,46.66
Armenia,2000,42.71323
Australia,2000,44.21973
Bangladesh,2000,47.19861
Belarus,2000,35.17899
Belgium,2000,32.48205
Bolivia,2000,61.9282
Brazil,2000,61.2
Bulgaria,2000,49.05499
Canada,2000,41.06143
Chile,2000,55.1711
China,2000,44.43417
Colombia,2000,57.4
Costa Rica,2000,46.73271
Croatia,2000,39.32527
Czech Republic,2000,31.34014
Denmark,2000,39.2
Dominican Republic,2000,51.9268
Ecuador,2000,55.9
Egypt,2000,53.77821
Estonia,2000,38.12853
Ethiopia,2000,47.06577
Finland,2000,27.4
France,2000,37.23963
Georgia,2000,48.91344
Germany,2000,50.5753
Ghana,2000,41.51118
Guatemala,2000,54.75296
Guyana,2000,43.2
Haiti,2000,50.11
Honduras,2000,58.76
Hungary,2000,29.2208
India,2000,47.39511
Indonesia,2000,50
Ireland,2000,45.21315
Italy,2000,36.72
Jamaica,2000,43.24268
Japan,2000,33.2732
Jordan,2000,43.45407
Kazakhstan,2000,29.5
Kenya,2000,51.15
Latvia,2000,42.16743
Lithuania,2000,41.6515
Malaysia,2000,48.9
Mauritius,2000,41
Mexico,2000,46.76
Morocco,2000,46.03109
Nepal,2000,43.8
Netherlands,2000,32.0505
New Zealand,2000,37.39601
Nicaragua,2000,57.95855
Nigeria,2000,51.15548
Norway,2000,30.50294
Panama,2000,57.55
Paraguay,2000,54.74294
Peru,2000,50.55
Philippines,2000,49.6
Poland,2000,34.5
Romania,2000,33.40205
Russia,2000,40.01112
Singapore,2000,45.77
Slovakia,2000,28.316
Slovenia,2000,26.8
South Africa,2000,54.52
South Korea,2000,31.57
Spain,2000,32.72845
Sri Lanka,2000,45.95
Sweden,2000,34.60449
Switzerland,2000,36.8288
Tanzania,2000,44.28
Thailand,2000,46.64705
The Gambia,2000,49.9
Turkey,2000,46
Turkmenistan,2000,46.35464
Ukraine,2000,32.90899
United Kingdom,2000,40.46565
United States,2000,43.86282
Uruguay,2000,42.2
Venezuela,2000,49.63
Vietnam,2000,43.58851
Zambia,2000,49.81067