"Entity","Year","pov_rate_20","pov_rate_10","pov_rate_5","pov_rate_2","number_in_poverty_20","number_in_poverty_10","number_in_poverty_5","number_in_poverty_2","poor_share_in_world_pop_20","poor_share_in_world_pop_10","poor_share_in_world_pop_5","poor_share_in_world_pop_2"
"China","1820","99.8307039098115","98.24582214663","90.0507048547451","57.7917965682962","380354981.896382","374316582.37866","343093185.496579","220186744.925209","35.9060779831428","35.3360440561631","32.3885087885639","20.7859573567849"
"E. Asia and Pacific excl. China","1820","99.2888453855598","96.2896022759543","86.6653982697766","58.2088269366732","84472963.8771266","81921267.8243364","73733187.5399606","49522905.7811828","7.97437386863411","7.73348995276175","6.96052295294176","4.67503622028382"
"Eastern Europe and Central Asia","1820","99.7644340976246","98.4470093710103","92.6033708220669","67.6145665005036","101153851.452304","99818078.9768636","93893056.1862532","68556233.2675704","9.54907455249564","9.42297563713037","8.86364464240841","6.47181074285627"
"India","1820","99.9904593195583","99.4963133055409","92.1568029660983","45.4399825027413","208980059.977877","207947294.808581","192607718.199145","94969563.4307292","19.7280295714167","19.6305349979997","18.1824560712543","8.96526853300886"
"Latin America and the Caribbean","1820","99.7231780166794","97.7896962587781","88.9110079688806","56.7810644446896","21029231.577317","20621506.5484313","18749203.6809892","11973767.5549632","1.98519084770767","1.94670099643805","1.76995281127887","1.13034152842425"
"Middle East and North Africa","1820","99.0981952671335","96.6946269346678","89.9183698814419","69.5873631072837","29458315.5041318","28743821.4199293","26729484.8553437","20685810.594119","2.78090895107963","2.71345964312536","2.52330326496595","1.95277139432684"
"South Asia excl. India","1820","99.9989979411763","99.9118953552916","97.6653819128654","68.4850462841067","34258949.6701108","34229108.9400295","33459469.3182147","23462492.646002","3.23409598144996","3.23127897199203","3.15862384298066","2.21489432431245"
"Sub-Saharan Africa","1820","99.4767130508812","97.32342682821","90.320805959808","67.9081867697295","46628411.6980848","45619086.8680297","42336699.6760601","31831076.7742173","4.40179165871325","4.30650988830605","3.99664763831497","3.00490115639872"
"Western Europe","1820","95.5296390888085","86.1058582398737","67.0126334302391","33.2301903992819","133413448.465516","120252516.291671","93587567.1881513","46408154.9623823","12.5944286590357","11.3520170187074","8.83480602503537","4.38099909412262"
"Western Offshoots","1820","93.4785670998814","81.5544472693533","61.0347817012701","29.2698504835809","10498577.8709877","9159379.97282107","6854816.33286965","3287296.90781097","0.991081420488596","0.86465914010545","0.647104892858194","0.310325734494416"
"China","1850","99.9946718072199","99.6711178452848","94.0604495972017","51.1790061181802","411978047.845746","410645005.522573","387529052.340471","210857505.206903","33.0968230189669","32.9897312307575","31.1326793432034","16.9395276484895"
"E. Asia and Pacific excl. China","1850","99.6407318179612","97.4359017819476","87.983720391077","51.9604671762624","96424580.9653057","94290917.2673038","85143828.3891542","50283314.6928922","7.74640131330901","7.57499050595161","6.84014654200276","4.03957923462173"
"Eastern Europe and Central Asia","1850","99.9320777776573","98.9753091659149","92.2218058226274","53.9418992710665","129270376.03548","128032717.007774","119296504.010321","69778290.9943436","10.3851134292561","10.2856843892575","9.58384870421405","5.60573496496218"
"India","1850","99.933817263875","98.753770293774","89.8728108862434","49.7767869504499","235643941.108217","232861390.352719","211920088.069762","117373663.629161","18.9307800625112","18.7072400210513","17.0248917040234","9.42937467793578"
"Latin America and the Caribbean","1850","99.6901073150825","97.6894266956513","87.3538415504853","47.447468357511","31071402.3191646","30447830.3909889","27226436.2838041","14788422.0216805","2.49616383417971","2.4460683258041","2.18727320019643","1.18804821990082"
"Middle East and North Africa","1850","98.5460047006451","95.4057201772222","87.9408004307594","68.4613017060985","34788230.8797406","33679662.9234772","31044433.2921233","24167875.4741413","2.79476036791367","2.70570203666326","2.49399724030499","1.94155951147081"
"South Asia excl. India","1850","99.9907178721498","99.7737837635919","96.9190918805355","67.4074254509445","45165523.6192668","45067535.097808","43778078.8721335","30447742.8616059","3.62843445082187","3.62056240819831","3.51697216907024","2.44606129401074"
"Sub-Saharan Africa","1850","99.788306493561","98.5018464119771","92.979154327898","70.6480726325462","59852031.6114906","59080425.6771335","55767970.0116176","42374009.7920881","4.80829526701582","4.74630724317975","4.48019656205723","3.40417434867262"
"Western Europe","1850","94.0686402698456","79.6462164902074","52.3179172063645","16.4463437180063","162228359.575267","137355818.161271","90226135.5158959","28362941.7277591","13.0328383601893","11.0346685413955","7.2484406741328","2.27857592793972"
"Western Offshoots","1850","90.6874452288532","68.6901147128829","34.8640658080847","5.80197686672239","24267960.3432411","18381474.6971675","9329624.01024346","1552609.00953491","1.94959996706497","1.47670104769164","0.749508174804854","0.124730979902771"
"China","1870","99.8934032024113","98.4564028448103","89.3659908613876","51.5946769540647","357618383.464633","352473922.184421","319930247.283768","184708943.495552","27.1094298635346","26.7194515550639","24.2524629632759","14.001948390764"
"E. Asia and Pacific excl. China","1870","99.5100942669148","96.7730669384981","86.2331148311137","51.3547650190981","113594753.009454","110470326.832973","98438549.9043095","58623518.4599012","8.61110371268116","8.37425511593257","7.46218060337172","4.44398340668494"
"Eastern Europe and Central Asia","1870","99.1934372786665","95.569237372339","84.1404697637509","54.8782388613481","152855387.533545","147270557.565163","129659022.470016","84566425.9495717","11.587274589909","11.1639139257819","9.82886321942388","6.41059771838166"
"India","1870","99.9482999132322","99.0422819229881","91.9828407593799","56.4805117993089","252869198.780477","250576973.26516","232716587.121231","142895694.852252","19.1688686207193","18.9951053867466","17.6411904095196","10.8322753988995"
"Latin America and the Caribbean","1870","98.6866308275114","94.3143639963859","81.5657665367667","47.9257652835437","39158942.7000891","37424023.3409634","32365368.5541737","19016986.2002526","2.96846208065035","2.83694570213129","2.45347199527732","1.44159158882429"
"Middle East and North Africa","1870","99.0923856205255","96.1447489195981","86.359387140302","56.8568802547781","39352926.8697791","38182320.9669755","34296223.926486","22579783.8723807","2.98316714192796","2.89442881054676","2.59984139548883","1.71167114311005"
"South Asia excl. India","1870","99.8213279652906","98.4785266456705","92.1627354647613","66.5911160108451","51143881.4709561","50455891.5099974","47219969.0660078","34118241.19853","3.8769860046161","3.82483260183872","3.57953197805842","2.58634933103258"
"Sub-Saharan Africa","1870","99.4072237637454","97.0327260798491","89.4060263503171","65.3630116007504","70530893.957421","68846152.7685608","63434896.6293978","46376022.4398456","5.34662761021121","5.21891501150435","4.80871219318987","3.51555620687782"
"Western Europe","1870","90.2333316578997","73.6730105008367","47.9463537269189","16.5794588460084","173469391.469727","141632942.777461","92174639.3642415","31873240.0108898","13.1499288598056","10.7365518835843","6.98734191691414","2.41616595944453"
"Western Offshoots","1870","82.9920316543399","59.7806062065054","32.1512719828063","7.9132159656822","38249367.5488522","27551685.7884542","14817878.2314358","3647042.97426361","2.89951130823987","2.08856850777111","1.12327623303301","0.276465809062285"
"China","1890","99.9955961738497","99.6250901139825","92.3130286905142","41.1941192903462","379983265.460629","378575342.433133","350789509.023954","156537653.303316","24.9448340333095","24.8524078413035","23.02834592629","10.2762572369639"
"E. Asia and Pacific excl. China","1890","99.254472131665","95.7114672892882","82.3543835205649","40.9141881552078","137493007.445981","132585033.218605","114082032.0074","56676688.2726245","9.02602973139605","8.70383500949625","7.48916495350809","3.7206653845779"
"Eastern Europe and Central Asia","1890","99.667265074822","95.1526087353216","74.5475144887199","28.2183216291728","188284949.141387","179756152.463405","140830341.472581","53308227.6193237","12.3603780329864","11.8004864878201","9.24511633592407","3.49953540443927"
"India","1890","99.9933551207023","99.576998836307","92.580584689003","45.0239485551868","279607419.189815","278443178.766012","258879385.742472","125898666.386927","18.3554416737718","18.2790125602122","16.994704501428","8.26489380849401"
"Latin America and the Caribbean","1890","98.1137879892923","91.9326512232847","74.7515939171638","34.0919645838184","52597145.0617776","49283542.0117774","40073067.2970168","18276126.5608436","3.45285483191335","3.23532609934056","2.63068430584162","1.19977637246564"
"Middle East and North Africa","1890","99.4433485685677","96.9080082965738","83.303546561606","38.9144318866858","46206308.5356751","45028263.7841964","38706956.5732443","18081573.8018607","3.03331436534995","2.95597903645375","2.5410029741274","1.18700453032237"
"South Asia excl. India","1890","99.9472374645135","99.0069492505029","91.5545207773432","54.0341480458348","58203906.9157924","57656333.5253651","53316439.1555743","31466587.800894","3.82092299866051","3.78497634367109","3.50007446872853","2.06569310186949"
"Sub-Saharan Africa","1890","99.8360330222538","98.3567970086344","90.4669486485128","55.5195274766959","86282717.4146999","85004296.196538","78185540.1232727","47982432.3468625","5.66421803666414","5.58029327468008","5.132661091839","3.14991190455728"
"Western Europe","1890","86.4945595258677","61.6464618903074","30.4384644497929","5.99330446401654","189859718.940079","135316949.323775","66813893.6955561","13155591.6036569","12.4637572468617","8.88317762805547","4.38614444595197","0.86362763572077"
"Western Offshoots","1890","71.4677133215071","40.3851471499277","14.5868136223369","1.66122812271802","51451036.1744194","29074075.136176","10501338.8629927","1195951.35010716","3.37761600279125","1.90863136581741","0.689383398890863","0.0785108467978746"
"China","1910","99.9434818667473","98.902291247628","90.7650741074035","52.0384304582598","422760928.296341","418356691.977467","383936263.474317","220122560.838439","23.3699956235678","23.1265318202498","21.2237891360534","12.1682561919177"
"E. Asia and Pacific excl. China","1910","98.31500355714","92.6682863175379","76.320541587847","37.1797068450946","171132463.20374","161303478.864981","132847701.799459","64717027.751477","9.46011007270369","8.9167691307993","7.34374915431672","3.57752231602199"
"Eastern Europe and Central Asia","1910","98.2694692808115","87.8514871207192","59.0716861610829","17.4891172515445","236437493.078207","211371706.085637","142127168.184028","42079020.7718505","13.0701368282828","11.6845136708206","7.85671304071541","2.32610552551546"
"India","1910","99.984780924867","99.1482400513698","87.7047253057395","32.2831145619027","302054023.174023","299526833.195188","264955975.148639","97527289.0915082","16.6973831477393","16.557681451598","14.6466231035462","5.39125582969987"
"Latin America and the Caribbean","1910","95.3754926197329","86.6539779121104","68.6183575252856","32.1402385361453","72568857.5738311","65932872.3614771","52210014.0971897","24454713.9800138","4.01156722486652","3.64473354892647","2.88614136096904","1.35184337159918"
"Middle East and North Africa","1910","98.9573681627588","94.2909490227495","77.4437379121931","35.8994805608074","53998254.4312278","51451920.6646452","42258871.0828477","19589337.5224274","2.98499432013149","2.84423436575021","2.33604755350239","1.08288799064898"
"South Asia excl. India","1910","99.6890095209986","97.3374499842735","86.6875519056952","49.6342036168048","68329714.84709","66717888.2940682","59418141.7888475","34020710.969992","3.77722970609237","3.68812880539688","3.28460276393502","1.88064651500165"
"Sub-Saharan Africa","1910","99.6095762856546","97.2848876207887","87.7051047095376","54.5796411975744","105376382.062183","102917107.662481","92782711.9369749","57739479.8584318","5.82514944686278","5.68920208722903","5.12897816893317","3.19180723970018"
"Western Europe","1910","79.835860062962","53.4508951292876","25.6935321792564","5.57514223355839","206664347.977718","138363817.738144","66510676.6668876","14431899.8213675","11.4242934588347","7.64867706207213","3.6766742586395","0.79778762201201"
"Western Offshoots","1910","58.9446218365633","30.6456458288176","10.8389801724419","1.44543568728584","62112895.2602785","32292849.2921165","11421575.3567106","1523127.85547746","3.43356727938284","1.78513125531858","0.631378512617592","0.0841976846348751"
"China","1929","99.7597490297781","97.6094841247762","87.249787124879","51.0705552326011","486102321.889871","475624661.579321","425144655.217011","248853026.598552","22.9388685926347","22.4444342684217","20.0623139197707","11.7432207561372"
"E. Asia and Pacific excl. China","1929","95.4076867709393","84.9815980156605","63.8269735201335","27.6858979846999","211324026.253768","188230676.772039","141374070.416889","61323103.3116291","9.97225038929128","8.88248947832574","6.67135513998553","2.89379940233388"
"Eastern Europe and Central Asia","1929","96.8503480145384","83.6041234977329","55.7929842771194","19.9235918149039","263606278.077062","227552840.840842","151856769.021581","54227826.6616557","12.4394175890671","10.7380781347335","7.1660272181899","2.55897767576949"
"India","1929","99.9776436184695","98.9138217515022","85.9873710938667","29.9118064184551","333025530.893122","329481940.254254","286423933.11367","99636227.179874","15.7152692903212","15.5480494348491","13.5161686493005","4.70177207436345"
"Latin America and the Caribbean","1929","91.7943747799312","78.9279803510517","58.9857852612202","30.0389895578365","96787866.1246039","83221557.0291472","62194533.1705204","31673070.4557061","4.56735967390999","3.92717391956535","2.93492163960913","1.49463264911807"
"Middle East and North Africa","1929","98.1961442771338","90.9186291175266","70.3683722559168","30.0033118191046","67600447.3198504","62590441.2367399","48443179.4821239","20654958.6542242","3.1900233922863","2.95360429693623","2.28600374511606","0.974694752564652"
"South Asia excl. India","1929","99.7397365828053","97.3416103866429","85.6368059657836","45.375669550988","81457688.9379268","79499133.3570353","69939790.7092626","37058421.2699008","3.84393807283674","3.75151504361365","3.3004155632065","1.74876403069999"
"Sub-Saharan Africa","1929","99.1912713344727","96.2477432399747","86.6160444458273","57.0773809994056","133646492.235938","129680496.041564","116703116.673471","76903861.1357495","6.30669549437228","6.11954258140546","5.50714805746221","3.62904574905291"
"Western Europe","1929","72.3525001244345","44.3225472214821","19.5094800845297","4.16876451139222","198222297.183901","121429350.916335","53449624.4437726","11421057.6890323","9.35398787965845","5.73017613478872","2.52225479334194","0.538952664326025"
"Western Offshoots","1929","53.0211464257792","26.8020272470975","9.64741950845822","1.46088602532356","74450703.1766863","37634602.5995568","13546617.0511918","2051332.33017858","3.51328273882669","1.77595367208068","0.639256498927881","0.0968011067687312"
"China","1950","99.9975112636159","99.7997397855306","95.5323531163494","55.5811942335726","546801391.216141","545719947.108249","522385236.693166","303926307.24831","21.7205073249381","21.6775492874416","20.750628184756","12.072817825401"
"E. Asia and Pacific excl. China","1950","97.7935767848044","88.1713217936159","66.9915854146474","32.0450692354824","299982774.723155","270466411.315135","205497358.175285","98298570.3305345","11.9161694911526","10.7436955400831","8.16293986299928","3.90469894772333"
"Eastern Europe and Central Asia","1950","90.1070950834146","64.401809779968","31.488011255431","7.80216511943554","259852642.943453","185723227.079667","90805756.6186371","22500039.8147306","10.3220864561165","7.37745510343898","3.60706306433302","0.893765611166989"
"India","1950","99.9684617624938","99.051159035645","89.8658266144208","44.3058295194321","358886777.727353","355593660.937966","322618317.545771","159057927.974761","14.2560041171678","14.1251921468715","12.8153176674018","6.31823353993561"
"Latin America and the Caribbean","1950","87.8595104813672","68.4811114994102","42.1169399166111","13.4428564003363","144281130.922292","112458311.682101","69163596.3922605","22075589.9235042","5.73125710978527","4.46716416944103","2.74737487173535","0.876905253604719"
"Middle East and North Africa","1950","96.5465623323654","85.3836589817371","60.094943748568","20.3915232478319","87652693.0103079","77518116.3163395","54558997.5304499","18513056.1262416","3.48181440494613","3.07924017808306","2.16723864375281","0.735391273059277"
"South Asia excl. India","1950","99.7126554537022","97.8734706726688","88.2186768780848","49.7412777619862","101325009.092389","99456084.6934459","89645172.8832034","50545594.2233975","4.02491770786423","3.95067871222689","3.56096137561817","2.00781484321184"
"Sub-Saharan Africa","1950","98.4970826875357","94.116886620383","81.0518899719264","45.8709431397755","176186656.65733","168351580.94221","144981568.187283","82051649.5412735","6.99863538746774","6.68740388331374","5.75908047122749","3.25932501912748"
"Western Europe","1950","65.5275373412445","34.860656206358","12.2687814709598","1.55169449301608","199557562.219026","106164642.410843","37363347.091661","4725530.40903116","7.92699426437961","4.21716171571084","1.4841784736203","0.187711515574778"
"Western Offshoots","1950","27.2764092786533","5.90763994735664","0.582802398961378","0.00751250528013019","48131133.5208332","10424444.2219071","1028395.62913528","13256.3414421593","1.91190559312895","0.414088589966371","0.0408508009569742","0.000526579606456207"
"China","1960","99.9948624974362","99.515460601393","90.1359867429847","33.5184521928765","667035729.261648","663837783.033712","601270126.766428","223591539.043021","22.0226008210209","21.9170186308392","19.8513084179748","7.38201417898963"
"E. Asia and Pacific excl. China","1960","91.0256225322063","73.6973942136025","52.6607006976359","22.2785357437689","335708867.692354","271801148.677361","194216350.42193","82164799.3205216","11.0836377437372","8.97368452307978","6.41217399702431","2.71272211906562"
"Eastern Europe and Central Asia","1960","80.9638743431987","35.6979450486013","10.1395668521765","1.28598358435662","276363707.960561","121852079.587797","34610600.2845562","4389602.08651456","9.12432026477742","4.02302244130719","1.14269056484636","0.144925451926596"
"India","1960","99.6257413303185","96.4058888481584","82.2588748986703","40.8709381400584","432375717.373582","418401557.601007","357003517.060229","177379871.527853","14.2751541045051","13.8137884999651","11.7866938801325","5.85630714064733"
"Latin America and the Caribbean","1960","82.3420090379279","61.3162320323424","36.7657630295028","12.3034268047073","177772280.412434","132378679.146226","79375444.092545","26562483.3000229","5.86926276482853","4.37056469415566","2.62062981570167","0.87697696070787"
"Middle East and North Africa","1960","91.8209533946191","80.4381531100599","62.4652702861046","34.6542547358655","106580253.44327","93367781.8409709","72505937.831893","40224579.6421085","3.51881357177449","3.08259557745716","2.39382878004605","1.32803959636777"
"South Asia excl. India","1960","99.7960894372179","98.8917433575172","94.0821579583452","29.3424842820429","124673258.612128","123543477.141679","117534958.294201","36656978.7638705","4.11616542716531","4.07886498695319","3.88048998798566","1.21025302724781"
"Sub-Saharan Africa","1960","96.904782820568","90.8435366599339","77.7963925660771","49.6171482770091","216130613.316026","202611973.554117","173512406.195824","110663110.488145","7.13568706061654","6.68936073346576","5.72862035947492","3.65361164474741"
"Western Europe","1960","38.7314016646802","11.5303252799331","2.38558151729938","0.129141219083209","126282960.499656","37594394.9687163","7778140.82552428","421062.361996421","4.16931073940987","1.24120240818326","0.25680017278807","0.0139016366173783"
"Western Offshoots","1960","16.1668643532967","2.13935523480362","0.116747861061436","0.000692843732125794","34220563.4452666","4528394.61906116","247121.364987351","1466.54925622799","1.12981325522057","0.149507773992905","0.00815886606477043","0.0000484190387972537"
"China","1970","99.9611238246822","98.0459925080158","77.8164603285048","17.1317606494729","817996870.425949","802325063.59197","636783767.337204","140191767.158735","22.2586302298375","21.8321824450565","17.3276144762523","3.81477829472483"
"E. Asia and Pacific excl. China","1970","77.3525466065068","64.8414597902132","45.645671117772","17.9961006888291","353098131.223916","295987647.235768","208362903.061694","82148420.46336","9.60820392096023","8.05416234537656","5.66979285684882","2.23535245814205"
"Eastern Europe and Central Asia","1970","54.3305044140815","16.6123198098332","3.89173695083567","0.517947755832686","209812998.641256","64153290.5184159","15029070.8393677","2000205.46399711","5.70925161576384","1.74568439477426","0.408958203394255","0.0544278779252893"
"India","1970","99.4263507968826","94.9103898755419","77.1713071019664","33.2036193232892","537896557.811135","513465209.226682","417496771.421638","179631580.538995","14.6367804267832","13.9719754943702","11.3605645610676","4.88798071652369"
"Latin America and the Caribbean","1970","74.4997413667641","51.4283371690866","28.5102256888943","8.79768548252719","211017537.431705","145668707.897951","80754073.8547656","24919092.221839","5.74202849365109","3.96381211516167","2.19741069247641","0.678076994524818"
"Middle East and North Africa","1970","84.9688328131608","70.2635343987142","50.9046332833654","25.5534411872876","127970709.411573","105823206.522559","76666959.1417438","38485782.237762","3.48222933855352","2.87957045910803","2.0861956274888","1.04724214346972"
"South Asia excl. India","1970","99.6952589895496","98.4253179439936","83.6237455292202","16.8557385346625","157094804.352783","155093694.750248","131770117.017669","26560429.9959945","4.27472926552451","4.22027678495572","3.58561556416642","0.722739672241627"
"Sub-Saharan Africa","1970","95.5405212524849","87.7817622683195","72.4607748036315","43.1052707922279","274404797.3049","252120632.863708","208116765.136754","123803941.400481","7.4668683186071","6.86049072205336","5.66309516245064","3.36884681624128"
"Western Europe","1970","18.0077445894053","3.02236008402422","0.273140241151435","0.00344144278521889","63397885.5240146","10640490.6882148","961614.801595332","12115.9090552138","1.72512896106533","0.289539919107116","0.0261666383651363","0.00032968774002511"
